time,kind,client,waiting,busy
0.0,initial,0,0,0
0.14518451436852475,arrival,1,1,0
0.14518451436852475,service,1,0,1
0.5941831542903504,arrival,2,1,1
0.5941831542903504,service,2,0,2
1.5490648267819074,arrival,3,1,2
1.6242796925312217,arrival,4,2,2
1.6911000709069648,arrival,5,3,2
2.200985520126681,departure,1,3,1
2.200985520126681,service,3,2,2
2.2989039524296317,arrival,6,3,2
3.5822120399442174,departure,3,3,1
3.5822120399442174,service,4,2,2
4.377930221620457,arrival,7,3,2
5.164942797008021,arrival,8,4,2
5.900722829377648,departure,2,4,1
5.900722829377648,service,5,3,2
7.0099944106308705,arrival,9,4,2
7.828990220943469,arrival,10,5,2
9.634196437885254,departure,5,5,1
9.634196437885254,service,6,4,2
9.670688398447817,departure,4,4,1
9.670688398447817,service,7,3,2
15.066978111608014,departure,7,3,1
15.066978111608014,service,8,2,2
16.655548432659554,departure,8,2,1
16.655548432659554,service,9,1,2
17.401833154870328,departure,6,1,1
17.401833154870328,service,10,0,2
17.586065352135993,departure,9,0,1
18.690264775280085,departure,10,0,0
